userid,firstname,lastname,date_of_birth,gender,dept,nom_kp
1396,Matthew,Hall,2003-12-01,Female,Marketing,031201-88-4437
1397,Kenneth,Hinton,1977-12-03,Male,Quality,771203-33-3424
1398,Kelli,Anderson,1991-12-12,Female,Marketing,911212-88-4439
1399,Anthony,Green,1971-07-30,Male,Information Technology,710730-77-3426
1400,Kristen,Mitchell,1983-10-04,Male,Information Technology,831004-77-3428
1401,Kathleen,Romero,1976-09-01,Female,Operations,760901-99-4441
1402,Monica,Rodriguez,1960-02-17,Male,Quality,600217-33-3430
1403,Cameron,Green,1970-08-11,Female,Operations,700811-99-4443
1404,Philip,Johnson,1983-01-24,Male,Quality,830124-33-3432
1405,Michael,Stewart,1994-09-19,Male,Marketing,940919-88-3434
1406,Julie,Sherman,1997-01-06,Female,Operations,970106-99-4445
1407,Roberto,Price,1990-12-25,Female,Operations,901225-99-4447
1408,Lauren,Young,1962-01-31,Male,Operations,620131-99-3436
1409,Ronald,Rivera,1986-08-06,Female,Operations,860806-99-4449
1410,Taylor,Wilson,2003-04-03,Female,Human Resources,030403-66-4451
1411,Bruce,Meyers,1961-05-06,Female,Human Resources,610506-66-4453
1412,William,Young,1954-03-11,Male,Marketing,540311-88-3438
1413,Daniel,Stevenson,1976-04-27,Male,Marketing,760427-88-3440
1414,Wesley,Ward,1970-11-07,Male,Quality,701107-33-3442
1415,Michael,Murillo,1961-05-26,Female,Operations,610526-99-4455
1416,Phillip,Rodriguez,1978-01-07,Female,Operations,780107-99-4457
1417,Samantha,Booth,1977-12-14,Female,Marketing,771214-88-4459
1418,Charles,Williams,1967-01-29,Male,Marketing,670129-88-3444
1419,Tamara,Webb,1954-10-26,Female,Quality,541026-33-4461
1420,Kayla,Brewer,1973-02-08,Male,Marketing,730208-88-3446
1421,Matthew,Hunter,1971-12-02,Female,Human Resources,711202-66-4463
1422,Richard,Case,1968-09-16,Female,Operations,680916-99-4465
1423,Michelle,Freeman,2006-07-18,Male,Information Technology,060718-77-3448
1424,William,Gordon,1960-03-17,Female,Human Resources,600317-66-4467
1425,Justin,Graham,1973-06-28,Male,Finance,730628-44-3450
1426,Jason,Garcia,1959-08-09,Male,Marketing,590809-88-3452
1427,Cameron,Newman,2004-10-22,Female,Operations,041022-99-4469
1428,Melissa,Santiago,1995-09-21,Female,Quality,950921-33-4471
1429,Brittany,Weiss,1975-10-10,Female,Marketing,751010-88-4473
1430,Miguel,Simon,1971-12-18,Female,Human Resources,711218-66-4475
1431,Justin,Decker,2002-03-30,Male,Operations,020330-99-3454
1432,Christine,Gates,1987-04-14,Male,Information Technology,870414-77-3456
1433,Katrina,Steele,1984-09-08,Male,Human Resources,840908-66-3458
1434,Rebecca,Hammond,1973-01-03,Female,Human Resources,730103-66-4477
1435,Sara,Wright,1967-07-06,Female,Information Technology,670706-77-4479
1436,Lisa,Bowman,2004-07-31,Female,Human Resources,040731-66-4481
1437,Paula,Ellis,1982-12-15,Male,Finance,821215-44-3460
1438,Rebecca,Calderon,2002-04-29,Female,Operations,020429-99-4483
1439,John,Baker,1979-07-06,Female,Finance,790706-44-4485
1440,Daniel,Bryant,1977-06-26,Male,Information Technology,770626-77-3462
1441,Shannon,Daugherty,1964-12-14,Female,Operations,641214-99-4487
1442,Katie,Finley,1982-06-19,Male,Quality,820619-33-3464
1443,Patrick,Bird,2000-09-10,Male,Finance,000910-44-3466
1444,Maria,Thomas,1955-12-17,Female,Marketing,551217-88-4489
1445,Joshua,Sampson,1974-11-27,Male,Information Technology,741127-77-3468
1446,James,Perry,2004-04-02,Female,Marketing,040402-88-4491
1447,Randy,Potts,1956-12-16,Female,Human Resources,561216-66-4493
1448,David,Jones,1996-02-02,Male,Quality,960202-33-3470
1449,Sean,Reed,1994-05-14,Female,Operations,940514-99-4495
1450,Lauren,Newman,1986-04-19,Female,Finance,860419-44-4497
1451,Jacob,Kirk,1958-12-16,Male,Marketing,581216-88-3472
1452,Diana,Kelly,1966-08-29,Male,Operations,660829-99-3474
1453,David,Williams,1975-09-30,Male,Marketing,750930-88-3476
1454,Anna,Nguyen,1996-03-16,Male,Finance,960316-44-3478
1455,Carla,Mendoza,1973-04-19,Male,Information Technology,730419-77-3480
1456,Lori,Russell,1974-07-18,Male,Operations,740718-99-3482
1457,Emily,Murray,1986-06-01,Male,Human Resources,860601-66-3484
1458,Michael,Brooks,1968-04-02,Male,Operations,680402-99-3486
1459,Sandra,Brown,1973-10-26,Female,Information Technology,731026-77-4499
1460,Phillip,Bell,1993-03-02,Female,Information Technology,930302-77-4501
1461,Elizabeth,Kim,1997-05-18,Male,Information Technology,970518-77-3488
1462,Matthew,Navarro,1955-08-26,Female,Human Resources,550826-66-4503
1463,Tyler,Smith,1971-12-11,Female,Quality,711211-33-4505
1464,Jennifer,Nelson,1990-04-28,Female,Operations,900428-99-4507
1465,Sarah,Meza,2001-06-28,Female,Human Resources,010628-66-4509
1466,April,Carr,1988-12-30,Female,Human Resources,881230-66-4511
1467,Teresa,Morgan,1988-12-19,Male,Operations,881219-99-3490
1468,Emily,Carter,1984-11-27,Female,Human Resources,841127-66-4513
1469,Clarence,Erickson,1986-12-24,Female,Finance,861224-44-4515
1470,Timothy,Sanders,1998-03-21,Female,Finance,980321-44-4517
1471,Taylor,Reyes,1998-05-17,Male,Operations,980517-99-3492
1472,Laura,Shelton,1958-11-24,Male,Operations,581124-99-3494
1473,Malik,Lee,1991-05-22,Female,Marketing,910522-88-4519
1474,David,Huang,1990-07-22,Female,Information Technology,900722-77-4521
1475,Angela,Lopez,1982-06-12,Female,Finance,820612-44-4523
1476,Andrew,Thomas,1969-05-10,Female,Information Technology,690510-77-4525
1477,Susan,Ibarra,2000-07-09,Female,Quality,000709-33-4527
1478,Michael,Norman,1954-05-07,Female,Information Technology,540507-77-4529
1479,Alexis,Murphy,1965-12-24,Male,Operations,651224-99-3496
1480,Amy,Clark,1991-12-02,Female,Finance,911202-44-4531
1481,Frederick,Martin,1987-01-20,Male,Marketing,870120-88-3498
1482,Kathleen,Baker,1959-04-18,Female,Quality,590418-33-4533
1483,Rita,Williams,1976-03-04,Female,Operations,760304-99-4535
1484,Lance,Edwards,1961-10-30,Female,Operations,611030-99-4537
1485,Mark,Davis,1987-03-29,Female,Information Technology,870329-77-4539
1486,Kyle,Perez,1956-04-01,Female,Marketing,560401-88-4541
1487,Mark,Johnson,1972-05-31,Female,Quality,720531-33-4543
1488,Frances,Hunter,1967-09-24,Male,Operations,670924-99-3500
1489,Kevin,Phelps,1965-11-29,Male,Operations,651129-99-3502
1490,John,Scott,1971-01-16,Male,Information Technology,710116-77-3504
1491,Christine,Hancock,1972-08-12,Male,Quality,720812-33-3506
1492,Angela,Miller,1954-12-27,Male,Operations,541227-99-3508
1493,Dean,Berger,2003-08-12,Female,Quality,030812-33-4545
1494,Tiffany,Johnson,1979-10-18,Female,Finance,791018-44-4547
1495,Kari,Young,1996-02-14,Male,Marketing,960214-88-3510
1496,Nicolas,Gonzalez,1999-02-04,Male,Finance,990204-44-3512
1497,Ryan,Cruz,1998-08-11,Male,Human Resources,980811-66-3514
1498,Samantha,Miller,2005-12-15,Female,Marketing,051215-88-4549
1499,Margaret,Leach,1956-01-27,Male,Information Technology,560127-77-3516
